Class	Order	Family	Genus	species	Genus_species	Gaspar_code	Size_cm	Geo_range	Diet_level	Home_range	Activity	Level_water	Schooling
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	tennentii	acanthurus_tennentii	1259	31	31	HD	Mob	Day	Bottom	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	thompsoni	acanthurus_thompsoni	4734	27	84	PK	VMob	Day	Low	MedG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	triostegus	acanthurus_triostegus	1260	27	97	HD	VMob	Day	Bottom	LargeG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	tristis	acanthurus_tristis	12782	25	13	HD	Mob	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	xanthopterus	acanthurus_xanthopterus	1261	70	106	HD	Mob	Day	Bottom	MedG
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	acentrogobius	janthinopterus	acentrogobius_janthinopterus	23581	12,5	22	OM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	syngnathiformes	syngnathidae	acentronura	dendritica	acentronura_dendritica	3279	7,5		IM	Sed	Day	Bottom	SmallG
actinopterygii_(ray-finned_fishes)	syngnathiformes	syngnathidae	acentronura	gracilissima	acentronura_gracilissima	7994	6,5	7	IM	Sed	Day	Bottom	SmallG
actinopterygii_(ray-finned_fishes)	syngnathiformes	syngnathidae	acentronura	tentaculata	acentronura_tentaculata	16862	6,3	23	IM	Sed	Day	Bottom	Pair
actinopterygii_(ray-finned_fishes)	tetraodontiformes	monacanthidae	acreichthys	radiatus	acreichthys_radiatus	7974	7	13	OM	Mob	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	tetraodontiformes	monacanthidae	acreichthys	tomentosus	acreichthys_tomentosus	7849	12	36	OM	Mob	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	gobiesociformes	gobiesocidae	acyrtus	artius	acyrtus_artius	16662	3	9	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	gobiesociformes	gobiesocidae	acyrtus	pauciradiatus	acyrtus_pauciradiatus	62176	1,629999995	1	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	syngnathiformes	centriscidae	aeoliscus	punctulatus	aeoliscus_punctulatus	7986	15	13	PK	Mob	Day	Low	SmallG
actinopterygii_(ray-finned_fishes)	syngnathiformes	centriscidae	aeoliscus	strigatus	aeoliscus_strigatus	6503	15	45	PK	Mob	Day	Low	SmallG
actinopterygii_(ray-finned_fishes)	pleuronectiformes	soleidae	aesopia	cornuta	aesopia_cornuta	7850	25	29	IM	Mob	Both	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	serranidae	aethaloperca	rogaa	aethaloperca_rogaa	6441	60	80	FC	Mob	Both	Bottom	Sol
actinopterygii_(ray-finned_fishes)	anguilliformes	ophichthidae	ahlia	egmontis	ahlia_egmontis	2633	38	23	FC	Mob	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	ptereleotridae	aioliops	novaeguineae	aioliops_novaeguineae	27609	2,3	9	PK	Sed	Day	Low	MedG
actinopterygii_(ray-finned_fishes)	gobiesociformes	gobiesocidae	alabes	parvula	alabes_parvula	27497	5	4	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	albuliformes	albulidae	albula	argentea	albula_argentea	58326	70	22	IM	VMob	Both	Bottom	MedG
actinopterygii_(ray-finned_fishes)	albuliformes	albulidae	albula	esuncula	albula_esuncula	66312	32		IM	VMob	Both	Bottom	MedG
actinopterygii_(ray-finned_fishes)	albuliformes	albulidae	albula	forsteri	albula_forsteri	61658	70	17	IM	VMob	Both	Bottom	MedG
actinopterygii_(ray-finned_fishes)	albuliformes	albulidae	albula	glossodonta	albula_glossodonta	11512	90	50	IM	VMob	Both	Bottom	MedG
actinopterygii_(ray-finned_fishes)	albuliformes	albulidae	albula	oligolepis	albula_oligolepis	63907	35,40000153	13	IM	Mob	Both	Bottom	SmallG
actinopterygii_(ray-finned_fishes)	albuliformes	albulidae	albula	virgata	albula_virgata	63908	32,20000076	1	IM	Mob	Both	Bottom	SmallG
actinopterygii_(ray-finned_fishes)	albuliformes	albulidae	albula	vulpes	albula_vulpes	228	104	14	IM	Mob	Day	Low	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	carangidae	alectis	alexandrinus	alectis_alexandrinus	1888	100	131	FC	VMob	Both	High	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	carangidae	alectis	ciliaris	alectis_ciliaris	988	150	131	FC	VMob	Both	High	SmallG
