Sitename	Sitecode	Realm	TropicalSubtropicalCold	Code_Region	Code_Province	Code_SubProvince	Region	Province	SubProvince	Latitude	Longitude	Sstmean	Sstmin	Sstmax	Refugia_isolation	Sst_Past	Meansurface	Chla_Mean	Distance_BC	Isol_habitat	Geology	Surface_area_present	Area_Iso_50mt	Shallow_Reef_area_50mt	Area_Iso_200mt	Shallow_Reef_area_200mt	Surface_area_past	Area_sub_past_50mt	Area_sub_past_200mt	Age_Ma
Carajos_Island	car	Indian	T	WI	WI	WII	West_Indian	West_Indian	West_Indian_Isl	-16,564189	59,611369	26	23,17062	28,91155	173,2846582	25,46789	0	0,07659	6263,7	420,49	oceanic	297,5416	1193,281	895,7392	2114,886	1817,344	1947,789	147,5348	199,4216	30
Chagos	cha	Indian	T	WI	WI	MLC	West_Indian	West_Indian	Maldives_Chagos_Lakk	-6,196148	71,965425	28	27	30	34,8741041	27,47744	17,428571	0,045506	5113	787,7702991	oceanic	105,1241	11914,26	11809,11	17759,52	17654,37	16605,67	720,3388	2692,108	48
Christmas_Indian_Ocean	chr	Indian	T	CIP	CIP	AND	Central_Indo_Pac	Central_Indo_Pac	Andaman_Sea	-10,506202	105,639351	27,09314	25,033641	29,09314	27,47576465	26,256736	3,428571	0,037974	2979	367,187	oceanic	138,813	243,9041	105,0911	322,3844	183,5713	283,2502	24,53811	96,24955	43
Chuuk	chu	Pacific	T	CP	CP	MICR	Central_Pac	Central_Pac	Micronesia	7,321871	151,903654	29	28	30	0,555351911	27,63861	41,571429	0,047822	3043	280,9014717	oceanic	92,64033	1152,222	1059,582	1393,551	1300,911	1373,918	12,80407	35,21059	14,3
Clipperton	cli	East_Pacific	T	EP	OI	OI	East_Pac	East_Pac_Ocean_Is	East_Pac_Ocean_Is	10,298051	-109,218277	28	27	29	461,293651	25,98706	0,571429	0,041273	2651	1061,615814	oceanic	6	10,656693	4,656693	25,39976	18,399	16,08681	4,233241	21,58893	31
Cocos_Keeling	cocn	Indian	T	CIP	CIP	AND	Central_Indo_Pac	Central_Indo_Pac	Andaman_Sea	-12,154652	96,871555	27	26	29	57,72393367	25,90854	0	0,062184	3676	998,4512517	oceanic	20,53924	98,42179	77,88796	133,7595	113,2203	122,1922	7,992058	33,65125	4
Cocos_TEP	cot	East_Pacific	T	EP	OI	OI	East_Pac	East_Pac_Ocean_Is	East_Pac_Ocean_Is	5,530041	-87,054767	27,43758	26	29	431,599426	26,00099	0	0,048358	475	564,5243376	oceanic	24,32842	110,2827	85,95431	200,4375	176,1091	173,8832	17,13171	55,25012	2,2
Comores_Mayotte_and_around	com	Indian	T	WI	WI	WII	West_Indian	West_Indian	West_Indian_Isl	-12,369708	44,293231	27,98514	25	30	68,22809794	25,890763	0,428571	0,037336	7879	279,43189	oceanic	1820,322	2469,203	648,8806	2996,185	1175,863	2779,682	146,6413	464,1652	15
Cook_islands	coo	Pacific	T	CP	PO	NPO	Central_Pac	Polynesia	South_Polyn	-19,875123	-159,833713	26,02277	25	28	63,16475613	26,85134	0,714286	0,02	9000	352,0832221	oceanic	68,27114	108,4891	40,21795	136,966	68,69489	121,9253	9,626125	33,08867	18,5
Desventuradas	childes	Pacific	S	CP	EP	EP	Central_Pac	Easter_Isl	Easter_Isl	-26,3	-80	19	17	21,58369	700	18,79129	0	0,03211	3600	1950,263854	oceanic	6,669643	120,3507	113,681	314,1342	307,4645	203,0784	82,90281	162,733	3
Easter_island	eas	Pacific	T	CP	EP	EP	Central_Pac	Easter_Isl	Easter_Isl	-27,129	-109,344159	22,022722	20	25,024665	700	22,46546	0	0,020015	13960	1936,888978	oceanic	171,4928	172,1425	0,6497345	242,3846	70,89179	196,0695	33,68313	87,85188	10
F_Noronha	nor	Atlantic	T	WA	TSWA	BRAC	West_Atl	Brazil	Brazil_Cont	-3,85357	-32,405443	27	26	28,21085	371,9014215	26,34142	0	0,029789	4441	381,73	oceanic	17,62561	115,2683	97,64269	199,4134	181,7878	173,8696	18,8895	51,51668	12,3
Fiji	fij	Pacific	T	CP	SWP	MELA	Central_Pac	SW_Pac	Melanesia	-17,250672	178,341042	27	25	29	16,34357117	27,1787	8,142857	0,049056	6581	286,3547581	oceanic	18270			18270				18270	28
Galapagos	gal	East_Pacific	S	EP	OI	OI	East_Pac	East_Pac_Ocean_Is	East_Pac_Ocean_Is	-0,625415	-90,583904	23	20,26406	25,65805	525,4739932	24,15806	0	0,100432	1204	570,8812312	oceanic	7993,818	9447,424	1453,606	16036,41	8042,592	12139,83	2549,968	7845,565	3,31
Gambier	gam	Pacific	T	CP	PO	SPO	Central_Pac	Polynesia	South_Polyn	-23,166516	-134,917014	25	23	27	181,8878526	25,196898	0	0,04702	11550	4998,175	oceanic	26,67136	494,5327	467,8613	567,5287	540,8574	543,5923	16,81418	47,87091	19,44
Guadalupe_island	guadm	East_Pacific	S	EP	CEP	MAM	East_Pac	Central_East_Pac	Middle_Amer	29,0206	-118,1637	25	19,97438	31	680	21,72192	0	0,101059	12012,6	271,383	oceanic	318,8471	326,7183	7,871231	443,7431	124,896	394,6512	31,97492	96,86851	7
Hawaii_main	haw	Pacific	T	CP	HW	HW	Central_Pac	Hawaii	Hawaii	21,117239	-157,62638	25	24	27	497,0700119	27,0466	0	0,024953	9400	3699,228	oceanic	16944,63	26612,2	9667,574	34556,24	17611,61	32066,48	1720,636	38777,32	25
Ifaluk_and_around	ifa	Pacific	T	CP	CP	MICR	Central_Pac	Central_Pac	Micronesia	7,902329	145,154046	29	28	30	2,780285747	27,69828	64,142857	0,025	2348	305,435342	oceanic	1,529437	66,58432	65,05488	110,5467	109,0172	88,35208	15,15194	41,82887	12,7
Jonston_atoll	jon	Pacific	T	CP	HW	HW	Central_Pac	Hawaii	Hawaii	16,738168	-169,50824	26	25	27,84068	281,4766136	27,79352	0	0,04226	7910	906,5433267	oceanic	2,590828	88,18542	85,59459	100,1359	97,54502	94,36691	4,120681	11,74404	85
JFernandez_islands	chilsf	Pacific	S	CP	EP	EP	Central_Pac	Easter_Isl	Easter_Isl	-26,319047	-79,996872	19	17	21,58369	700	18,79129	0	0,03211	3600	670	oceanic	152,0491	192,05	40,00091	620,4372	468,3881	286,3903	229,3334	520,7468	1,4
Kapingamangari	kap	Pacific	T	CP	CP	MICR	Central_Pac	Central_Pac	Micronesia	0,990473	154,773095	30	29	30	0	27,39202	8	0,03787	3496	436,8887956	oceanic	2,480945	97,01103	94,53008	119,3816	116,9006	109,2718	7,09836	25,38199	
Kermadec	ker	Pacific	S	CP	SWP	SOUI	Central_Pac	SW_Pac	South_Pac_Isl	-29,26778	-177,935664	21	17,896564	24	151,7267834	20,670559	0	0,033789	7330	892,0810649	oceanic	50,22869	112,83	62,60131	340,5258	290,2971	179,5944	100,3586	377,8504	2
Kosrae	kos	Pacific	T	CP	CP	MICR	Central_Pac	Central_Pac	Micronesia	5,322396	162,998748	29	28,147385	30	3,001902	27,385425	16,857143	0,025061	4129	459,6862583	oceanic	127,3829	223,8539	69,47102	267,3399	139,957	248,4889	11,56747	49,69843	2
La_Reunion	reu	Indian	T	WI	WI	WII	West_Indian	West_Indian	West_Indian_Isl	-21,080845	55,518122	25,364905	23	28,214605	309,433299	23,612985	0	0,033729	7388	702,414	oceanic	2511	2579,048	68,048	2794,667	136,437	2725,012	46,76745	185,4792	3
Laccadives	lac	Indian	T	WI	WI	MLC	West_Indian	West_Indian	Maldives_Chagos_Lakk	12,253101	72,372939	28,13783	27	30	26,26811079	27,18515	56	0,043051	4642	307,163259	oceanic	23,16791	865,8629	842,725	1235,031	1211,863	1061,981	106,9171	393,6384	60
Line_islands	lin	Pacific	T	CP	PO	NPO	Central_Pac	Polynesia	North_Polyn	3,524321	-159,195413	27	26	28	218,1593587	26,46997	0	0,041	8980	689,7684416	oceanic	743,9505	1059,968	316,0176	1252,994	509,0435	1165,937	53,09367	198,6174	91,2
Lord_Howe	lor	Pacific	S	CP	SWP	SOUI	Central_Pac	SW_Pac	South_Pac_Isl	-31,616943	159,14115	21	19	24	215,1941194	20,58995	0	0,043712	6338	578,657	oceanic	12,66423	231,7248	219,0605	274,0726	261,4084	270,5916	2,198633	6,229134	15,97
Loyalty_islands	loy	Pacific	T	CP	SWP	MELA	Central_Pac	SW_Pac	Melanesia	-20,80298	166,933618	25,88583	23	28	204,54692	26,87846	0	0,032696	5882	270,3087462	oceanic	2250,24	4194,577	1944,337	4696,55	2446,31	4484,51	134,1337	671,2609	2
